"FileName","RecordDestination","ActualMatchedPaths","SameFileNameCount","SameSizeAndNameCount","Bytes","Verdict"
"umt5_xxl_fp8_e4m3fn_scaled.safetensors","text_encoders\umt5_xxl_fp8_e4m3fn_scaled.safetensors","text_encoders\umt5_xxl_fp8_e4m3fn_scaled.safetensors","1","1","6735906897","全盘唯一同名"
"lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank128_bf16.safetensors","loras\WAN\2.1\lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank128_bf16.safetensors","loras\Wan\2.1\lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank128_bf16.safetensors","1","1","1253192432","全盘唯一同名"
"SVI_v2_PRO_Wan2.2-I2V-A14B_HIGH_lora_rank_128_fp16.safetensors","loras\WAN\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_HIGH_lora_rank_128_fp16.safetensors","loras\Wan\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_HIGH_lora_rank_128_fp16.safetensors","1","1","1226934120","全盘唯一同名"
"SVI_v2_PRO_Wan2.2-I2V-A14B_LOW_lora_rank_128_fp16.safetensors","loras\WAN\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_LOW_lora_rank_128_fp16.safetensors","loras\Wan\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_LOW_lora_rank_128_fp16.safetensors","1","1","1226934120","全盘唯一同名"
"wan2.2_i2v_A14b_high_noise_lora_rank64_lightx2v_4step_1022.safetensors","loras\WAN\2.2\wan2.2_i2v_A14b_high_noise_lora_rank64_lightx2v_4step_1022.safetensors","loras\Wan\2.2\wan2.2_i2v_A14b_high_noise_lora_rank64_lightx2v_4step_1022.safetensors","1","1","634645944","全盘唯一同名"
"wan2.2_i2v_A14b_low_noise_lora_rank64_lightx2v_4step_1022.safetensors","loras\WAN\2.2\wan2.2_i2v_A14b_low_noise_lora_rank64_lightx2v_4step_1022.safetensors","loras\Wan\2.2\wan2.2_i2v_A14b_low_noise_lora_rank64_lightx2v_4step_1022.safetensors","1","1","739472104","全盘唯一同名"
"Dasiwa_WAN22-I2V14BLightspeed_synthseductionHighV9.safetensors","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionHighV9.safetensors","diffusion_models\Wan2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionHighV9.safetensors","1","1","14528641504","全盘唯一同名"
"Dasiwa_WAN22-I2V14BLightspeed_synthseductionLowV9.safetensors","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionLowV9.safetensors","diffusion_models\Wan2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionLowV9.safetensors","1","1","14528641504","全盘唯一同名"
"Dasiwa_WAN22-I2V14BSynthseduction_q4High.gguf","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4High.gguf","diffusion_models\Wan2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4High.gguf","1","1","9651739136","全盘唯一同名"
"Dasiwa_WAN22-I2V14BSynthseduction_q4Low.gguf","diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4Low.gguf","diffusion_models\Wan2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4Low.gguf","1","1","9651739136","全盘唯一同名"
"Remix_I2V-GGUF_V21_highQ40.gguf","diffusion_models\WAN2.2\Remix_I2V-GGUF_V21_highQ40.gguf","diffusion_models\Wan2.2\Remix_I2V-GGUF_V21_highQ40.gguf","1","1","9651728896","全盘唯一同名"
"Remix_I2V-GGUF_V21_lowQ40.gguf","diffusion_models\WAN2.2\Remix_I2V-GGUF_V21_lowQ40.gguf","diffusion_models\Wan2.2\Remix_I2V-GGUF_V21_lowQ40.gguf","1","1","9651728896","全盘唯一同名"
"Remix_NSFW_i2v_14b_high_lighting_fp8_e4m3fn_v2.1.safetensors","diffusion_models\WAN2.2\Remix_NSFW_i2v_14b_high_lighting_fp8_e4m3fn_v2.1.safetensors","diffusion_models\Wan2.2\Remix_NSFW_i2v_14b_high_lighting_fp8_e4m3fn_v2.1.safetensors","1","1","14291297968","全盘唯一同名"
"Remix_NSFW_i2v_14b_low_lighting_fp8_e4m3fn_v2.1.safetensors","diffusion_models\WAN2.2\Remix_NSFW_i2v_14b_low_lighting_fp8_e4m3fn_v2.1.safetensors","diffusion_models\Wan2.2\Remix_NSFW_i2v_14b_low_lighting_fp8_e4m3fn_v2.1.safetensors","1","1","14291297968","全盘唯一同名"
"Remix_NSFW_t2v_14b_high_lighting_v2.0.safetensors","diffusion_models\WAN2.2\Remix_NSFW_t2v_14b_high_lighting_v2.0.safetensors","diffusion_models\Wan2.2\Remix_NSFW_t2v_14b_high_lighting_v2.0.safetensors","1","1","14289633736","全盘唯一同名"
"Remix_NSFW_t2v_14b_low_lighting_v2.0.safetensors","diffusion_models\WAN2.2\Remix_NSFW_t2v_14b_low_lighting_v2.0.safetensors","diffusion_models\Wan2.2\Remix_NSFW_t2v_14b_low_lighting_v2.0.safetensors","1","1","14289633736","全盘唯一同名"
"smoothMix_Wan2214B-I2V_i2v_V20_High.safetensors","diffusion_models\WAN2.2\smoothMix_Wan2214B-I2V_i2v_V20_High.safetensors","diffusion_models\Wan2.2\smoothMix_Wan2214B-I2V_i2v_V20_High.safetensors","1","1","14550099704","全盘唯一同名"
"smoothMix_Wan2214B-I2V_i2v_V20_Low.safetensors","diffusion_models\WAN2.2\smoothMix_Wan2214B-I2V_i2v_V20_Low.safetensors","diffusion_models\Wan2.2\smoothMix_Wan2214B-I2V_i2v_V20_Low.safetensors","1","1","14550099768","全盘唯一同名"
"smoothMix_Wan22-I2V_V20_highQ4KM.gguf","diffusion_models\WAN2.2\smoothMix_Wan22-I2V_V20_highQ4KM.gguf","diffusion_models\Wan2.2\smoothMix_Wan22-I2V_V20_highQ4KM.gguf","1","1","9651728896","全盘唯一同名"
"smoothMix_Wan22-I2V_V20_lowQ4KM.gguf","diffusion_models\WAN2.2\smoothMix_Wan22-I2V_V20_lowQ4KM.gguf","diffusion_models\Wan2.2\smoothMix_Wan22-I2V_V20_lowQ4KM.gguf","1","1","9651728896","全盘唯一同名"
"smoothMix_Wan22-T2V_V20_highQ6K.gguf","diffusion_models\WAN2.2\smoothMix_Wan22-T2V_V20_highQ6K.gguf","diffusion_models\Wan2.2\smoothMix_Wan22-T2V_V20_highQ6K.gguf","1","1","12011199104","全盘唯一同名"
"smoothMix_Wan22-T2V_V20_lowQ6K.gguf","diffusion_models\WAN2.2\smoothMix_Wan22-T2V_V20_lowQ6K.gguf","diffusion_models\Wan2.2\smoothMix_Wan22-T2V_V20_lowQ6K.gguf","1","1","12001372704","全盘唯一同名"
"apple_DFN5B-CLIP-ViT-H-14-384_fp16.safetensors","mmaudio\apple_DFN5B-CLIP-ViT-H-14-384_fp16.safetensors","mmaudio\apple_DFN5B-CLIP-ViT-H-14-384_fp16.safetensors","1","1","1973509450","全盘唯一同名"
"mmaudio_large_44k_nsfw_gold_8.5k_final_fp16.safetensors","mmaudio\mmaudio_large_44k_nsfw_gold_8.5k_final_fp16.safetensors","mmaudio\mmaudio_large_44k_nsfw_gold_8.5k_final_fp16.safetensors","1","1","2060050528","全盘唯一同名"
"mmaudio_synchformer_fp16.safetensors","mmaudio\mmaudio_synchformer_fp16.safetensors","mmaudio\mmaudio_synchformer_fp16.safetensors","1","1","474981098","全盘唯一同名"
"mmaudio_vae_44k_fp16.safetensors","mmaudio\mmaudio_vae_44k_fp16.safetensors","mmaudio\mmaudio_vae_44k_fp16.safetensors","1","1","610966060","全盘唯一同名"
