"Migrated","FileName","Bytes","SameNameCount","SameNameOther","SameSizeCount","SameSizeOther"
"text_encoders\umt5_xxl_fp8_e4m3fn_scaled.safetensors","umt5_xxl_fp8_e4m3fn_scaled.safetensors","6735906897","1","","1",""
"loras\WAN\2.1\lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank128_bf16.safetensors","lightx2v_T2V_14B_cfg_step_distill_v2_lora_rank128_bf16.safetensors","1253192432","1","","1",""
"loras\WAN\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_HIGH_lora_rank_128_fp16.safetensors","SVI_v2_PRO_Wan2.2-I2V-A14B_HIGH_lora_rank_128_fp16.safetensors","1226934120","1","","2","loras\Wan\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_LOW_lora_rank_128_fp16.safetensors"
"loras\WAN\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_LOW_lora_rank_128_fp16.safetensors","SVI_v2_PRO_Wan2.2-I2V-A14B_LOW_lora_rank_128_fp16.safetensors","1226934120","1","","2","loras\Wan\2.2\SVI_v2_PRO_Wan2.2-I2V-A14B_HIGH_lora_rank_128_fp16.safetensors"
"loras\WAN\2.2\wan2.2_i2v_A14b_high_noise_lora_rank64_lightx2v_4step_1022.safetensors","wan2.2_i2v_A14b_high_noise_lora_rank64_lightx2v_4step_1022.safetensors","634645944","1","","1",""
"loras\WAN\2.2\wan2.2_i2v_A14b_low_noise_lora_rank64_lightx2v_4step_1022.safetensors","wan2.2_i2v_A14b_low_noise_lora_rank64_lightx2v_4step_1022.safetensors","739472104","1","","2","loras\Wan\Wan21_I2V_14B_lightx2v_cfg_step_distill_lora_rank64.safetensors"
"diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionHighV9.safetensors","Dasiwa_WAN22-I2V14BLightspeed_synthseductionHighV9.safetensors","14528641504","1","","2","diffusion_models\Wan2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionLowV9.safetensors"
"diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionLowV9.safetensors","Dasiwa_WAN22-I2V14BLightspeed_synthseductionLowV9.safetensors","14528641504","1","","2","diffusion_models\Wan2.2\Dasiwa_WAN22-I2V14BLightspeed_synthseductionHighV9.safetensors"
"diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4High.gguf","Dasiwa_WAN22-I2V14BSynthseduction_q4High.gguf","9651739136","1","","2","diffusion_models\Wan2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4Low.gguf"
"diffusion_models\WAN2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4Low.gguf","Dasiwa_WAN22-I2V14BSynthseduction_q4Low.gguf","9651739136","1","","2","diffusion_models\Wan2.2\Dasiwa_WAN22-I2V14BSynthseduction_q4High.gguf"
